n,threads,bloques_time,strassen_hibrido_time,strassen_puro_time,speedup_bloques,eficiencia_bloques,speedup_strassen_hibrido,eficiencia_strassen_hibrido,speedup_strassen_puro,eficiencia_strassen_puro
256,1,0.00995779,0.00899681,0.00517082,0.980376,0.980376,1.02502,1.02502,1.16047,1.16047
256,2,0.00502132,0.00947493,0.00507166,1.94418,0.972091,0.973295,0.486647,1.18316,0.591579
256,4,0.00258074,0.0103486,0.00559803,3.78278,0.945696,0.891129,0.222782,1.07191,0.267977
256,8,0.00335221,0.0123021,0.0056218,2.91222,0.364027,0.749619,0.0937024,1.06738,0.133422
512,1,0.0775019,0.0687638,0.039973,0.996554,0.996554,1.02185,1.02185,1.07277,1.07277
512,2,0.0420058,0.0704566,0.0288075,1.83867,0.919336,0.997296,0.498648,1.48857,0.744283
512,4,0.0237751,0.0811663,0.0191374,3.24856,0.812139,0.865705,0.216426,2.24073,0.560184
512,8,0.0194335,0.0746093,0.0265586,3.97432,0.49679,0.941787,0.117723,1.61461,0.201827
1024,1,0.615992,0.512086,0.302661,1.01018,1.01018,0.993715,0.993715,1.02593,1.02593
1024,2,0.322209,0.298873,0.191985,1.93124,0.965619,1.70262,0.85131,1.61737,0.808684
1024,4,0.16714,0.22304,0.139754,3.723,0.93075,2.2815,0.570376,2.22183,0.555458
1024,8,0.153038,0.166404,0.1348,4.06606,0.508257,3.05803,0.382254,2.30349,0.287936
